Date,Store,DayOfWeek,Sales,Promo,StateHoliday,SchoolHoliday
2018-06-06,7,7,12092,0,c,1
2018-06-07,2,5,7590,0,c,0
2018-06-08,3,3,8658,1,b,1
2018-06-09,17,5,17816,1,c,0
2018-06-10,5,3,6247,1,a,0
2018-06-11,17,3,8715,1,c,1
2018-06-12,17,5,4817,0,b,0
2018-06-13,17,1,18454,0,c,1
2018-06-14,2,1,5600,1,c,0
2018-06-15,2,1,10982,1,0,0
2018-06-16,5,6,1994,0,0,1
2018-06-17,1,1,5731,1,a,1
2018-06-18,1,3,8670,0,c,1
2018-06-19,19,7,18341,1,a,0
2018-06-20,2,2,9287,1,c,1
2018-06-21,12,5,19538,1,a,0
2018-06-22,6,7,18015,1,a,1
2018-06-23,4,2,12876,0,c,1
2018-06-24,11,7,18081,1,0,1
2018-06-25,17,6,17415,0,b,1
2018-06-26,6,2,16852,1,a,1
2018-06-27,5,4,14490,1,b,0
2018-06-28,2,1,6562,0,c,0
2018-06-29,6,6,9740,1,a,1
2018-06-30,11,7,3248,0,c,1
2018-07-01,16,3,7192,1,a,1
2018-07-02,16,1,10895,0,0,0
2018-07-03,1,1,7406,1,a,0
2018-07-04,9,2,2156,1,a,1
2018-07-05,6,4,15318,1,a,0
2018-07-06,16,1,9535,1,c,0
2018-07-07,3,7,6295,1,0,1
2018-07-08,4,7,13264,0,c,0
2018-07-09,19,5,7154,0,b,0
2018-07-10,3,5,19632,0,0,0
2018-07-11,19,1,10136,1,a,0
2018-07-12,7,2,14213,1,a,1
2018-07-13,9,2,13072,1,a,0
2018-07-14,1,3,11242,0,b,0
2018-07-15,8,6,4285,0,b,0
2018-07-16,7,6,10522,0,a,1
2018-07-17,18,6,3003,1,a,1
2018-07-18,8,4,10979,1,b,1
2018-07-19,1,2,11438,0,c,1
2018-07-20,11,3,15227,0,0,1
2018-07-21,18,5,4672,0,0,1
2018-07-22,10,7,8458,0,b,1
2018-07-23,3,6,19539,1,b,0
2018-07-24,7,5,4479,0,c,0
2018-07-25,16,5,15887,1,a,0
2018-07-26,16,1,1051,1,b,0
2018-07-27,17,4,3159,1,c,1
2018-07-28,2,3,5390,1,b,0
2018-07-29,1,4,17080,1,a,0
2018-07-30,16,1,3112,1,b,1
2018-07-31,12,3,13752,0,a,0
2018-08-01,5,3,15593,0,c,1
2018-08-02,5,2,16339,0,0,1
2018-08-03,9,4,2354,0,c,0
2018-08-04,9,4,6620,1,0,0
2018-08-05,3,2,4754,0,c,1
2018-08-06,19,5,17593,1,0,0
2018-08-07,16,1,17167,0,c,1
2018-08-08,16,4,1237,0,a,0
2018-08-09,3,2,9527,1,0,0
2018-08-10,1,7,9075,1,0,0
2018-08-11,11,3,18960,0,a,1
2018-08-12,17,6,9691,0,a,1
2018-08-13,8,7,10756,1,0,0
2018-08-14,4,2,4540,1,0,0
2018-08-15,6,6,10327,1,0,1
2018-08-16,8,5,11540,1,b,1
2018-08-17,3,1,8257,1,c,1
2018-08-18,16,6,17533,1,a,1
2018-08-19,3,5,12720,1,a,0
2018-08-20,18,6,2624,1,c,1
2018-08-21,14,3,8661,1,a,1
2018-08-22,18,3,19958,1,a,1
2018-08-23,2,3,8529,0,0,1
2018-08-24,3,3,14654,1,a,0
2018-08-25,16,2,3108,1,b,0
2018-08-26,9,3,4947,0,b,0
2018-08-27,4,7,8899,1,0,1
2018-08-28,1,3,14372,0,0,1
2018-08-29,4,7,5914,1,a,0
2018-08-30,1,2,7667,0,0,0
2018-08-31,14,3,3263,1,0,1
2018-09-01,16,5,4815,0,c,1
2018-09-02,8,5,1577,0,0,0
2018-09-03,7,4,16029,1,b,1
2018-09-04,3,5,17806,1,a,0
2018-09-05,17,1,3763,0,0,1
2018-09-06,1,1,18613,0,c,0
2018-09-07,16,1,16645,0,a,1
2018-09-08,12,2,9945,1,a,1
2018-09-09,19,5,18071,0,a,1
2018-09-10,14,7,18106,0,c,0
2018-09-11,6,1,14854,0,b,1
2018-09-12,6,4,18130,0,c,1
2018-09-13,13,2,3712,1,c,1
2018-09-14,19,4,18091,1,a,0
2018-09-15,8,5,16857,0,c,1
2018-09-16,2,3,9626,1,a,0
2018-09-17,1,4,14068,1,0,1
2018-09-18,15,3,17867,0,0,0
2018-09-19,1,2,15719,0,c,0
2018-09-20,5,4,2533,1,b,1
2018-09-21,16,4,17553,1,a,0
2018-09-22,19,6,18404,0,c,1
2018-09-23,4,2,8093,0,c,1
2018-09-24,3,2,14156,0,b,1
2018-09-25,17,1,18231,0,a,1
2018-09-26,17,5,14785,0,c,0
2018-09-27,12,4,16591,1,b,0
2018-09-28,14,4,15694,0,a,0
2018-09-29,6,7,4346,0,0,0
2018-09-30,3,2,5013,0,b,0
2018-10-01,9,2,1031,0,c,1
2018-10-02,5,5,12156,1,0,1
2018-10-03,17,2,11304,1,a,0
2018-10-04,14,3,8877,1,b,0
2018-10-05,3,3,7170,1,0,1
2018-10-06,1,6,13078,1,0,0
2018-10-07,1,3,3315,1,c,0
2018-10-08,3,3,1065,0,0,0
2018-10-09,18,5,13420,0,c,0
2018-10-10,10,4,19312,0,a,1
2018-10-11,3,3,8533,1,c,1
2018-10-12,8,6,15204,1,b,0
2018-10-13,14,2,16317,1,0,1
2018-10-14,18,3,16457,0,a,0
2018-10-15,15,6,17968,1,c,1
2018-10-16,2,5,6244,0,c,0
2018-10-17,10,7,9154,1,c,1
2018-10-18,2,7,19132,0,a,1
2018-10-19,17,7,19588,1,a,1
2018-10-20,8,2,12822,0,b,0
2018-10-21,1,6,2892,0,a,1
2018-10-22,9,3,8018,1,c,1
2018-10-23,11,4,11621,1,a,0
2018-10-24,16,2,1973,0,c,0
2018-10-25,7,2,11834,1,b,0
2018-10-26,10,7,7615,1,b,0
2018-10-27,3,4,5329,0,c,0
2018-10-28,18,7,2477,0,a,1
2018-10-29,13,2,8329,0,a,0
2018-10-30,7,3,7444,1,0,0
2018-10-31,4,7,17385,0,b,1
2018-11-01,13,7,12406,1,b,0
2018-11-02,1,7,7843,1,c,0
2018-11-03,8,2,6972,0,0,1
2018-11-04,14,3,16295,1,a,1
2018-11-05,16,4,6105,1,c,0
2018-11-06,14,1,11931,0,a,0
2018-11-07,12,4,8702,0,a,1
2018-11-08,19,3,15136,1,a,0
2018-11-09,15,5,3599,0,0,1
2018-11-10,2,7,3235,0,b,1
2018-11-11,2,4,6473,1,b,1
2018-11-12,19,5,1018,0,a,0
2018-11-13,17,5,1858,0,0,0
2018-11-14,10,3,6380,1,a,0
2018-11-15,6,3,4032,1,a,1
2018-11-16,15,7,19915,1,c,0
2018-11-17,11,1,8471,0,0,0
2018-11-18,5,6,5719,0,0,1
2018-11-19,1,2,13943,1,b,0
2018-11-20,8,4,5863,0,b,0
2018-11-21,12,3,5038,0,a,1
2018-11-22,12,4,19836,0,c,1
2018-11-23,5,6,3846,0,c,1
2018-11-24,7,6,9064,1,c,0
2018-11-25,4,7,12394,1,a,0
2018-11-26,6,5,7622,0,b,0
2018-11-27,13,7,13295,0,0,1
2018-11-28,15,2,12782,0,a,0
2018-11-29,3,1,2159,1,c,0
2018-11-30,8,4,5626,1,c,0
2018-12-01,16,2,4722,1,a,1
2018-12-02,13,1,12630,1,c,0
2018-12-03,18,4,12274,1,0,1
2018-12-04,10,2,15888,0,a,0
2018-12-05,19,3,7589,0,0,1
2018-12-06,17,4,16473,1,b,1
2018-12-07,19,2,3243,1,c,0
2018-12-08,5,6,9177,0,c,0
2018-12-09,9,1,2760,1,b,1
2018-12-10,12,2,17202,0,b,1
2018-12-11,1,3,6442,1,b,0
2018-12-12,1,7,15965,0,c,1
2018-12-13,15,4,4236,1,b,1
2018-12-14,2,4,16611,0,a,1
2018-12-15,16,4,9235,0,b,0
2018-12-16,8,3,16829,1,a,1
2018-12-17,13,1,9680,1,a,0
2018-12-18,1,4,12340,1,0,0
2018-12-19,16,1,10148,1,a,0
2018-12-20,7,2,11306,1,a,1
2018-12-21,5,6,18499,0,b,1
2018-12-22,3,6,19165,1,c,1
2018-12-23,12,1,12018,1,b,0
2018-12-24,16,1,19260,1,0,0
2018-12-25,19,6,12142,1,0,0
2018-12-26,5,4,10546,0,c,0
2018-12-27,14,5,4276,1,a,0
2018-12-28,5,5,17832,1,0,0
2018-12-29,15,3,17008,1,c,0
2018-12-30,17,7,5172,1,b,0
2018-12-31,14,6,14183,0,b,1
2019-01-01,5,6,13836,0,b,1
2019-01-02,12,3,9989,0,a,1
2019-01-03,16,5,14740,0,a,1
2019-01-04,16,2,14102,0,c,0
2019-01-05,7,4,16357,1,0,1
2019-01-06,4,4,19566,0,b,0
2019-01-07,1,2,16613,0,a,1
2019-01-08,5,2,4326,1,a,0
2019-01-09,10,5,1719,0,0,1
2019-01-10,5,3,18906,0,b,1
2019-01-11,4,2,2069,0,b,1
2019-01-12,2,3,8749,0,0,0
2019-01-13,10,7,13935,1,c,1
2019-01-14,19,1,5887,0,c,1
2019-01-15,1,4,12267,0,0,1
2019-01-16,5,5,19540,0,0,1
2019-01-17,13,4,8944,0,c,1
2019-01-18,4,5,16934,0,0,0
2019-01-19,16,1,13747,1,b,0
2019-01-20,16,4,11505,0,c,1
2019-01-21,2,1,14449,0,c,0
2019-01-22,17,5,12697,1,c,1
2019-01-23,12,2,5139,1,b,1
2019-01-24,18,7,16221,0,0,1
2019-01-25,3,4,8087,1,a,1
2019-01-26,1,1,1632,0,a,0
2019-01-27,1,6,3199,0,b,1
2019-01-28,19,4,15548,0,b,1
2019-01-29,11,4,12255,0,0,0
2019-01-30,5,4,18006,1,a,1
2019-01-31,12,3,7073,1,c,1
2019-02-01,3,1,17744,1,b,0
2019-02-02,1,1,11559,1,a,0
2019-02-03,1,4,17097,0,c,1
2019-02-04,8,2,9401,0,c,1
2019-02-05,10,4,12659,0,0,1
2019-02-06,11,3,10122,1,b,0
2019-02-07,12,5,14894,0,c,1
2019-02-08,13,3,1877,0,b,1
2019-02-09,12,2,14775,0,a,1
2019-02-10,14,4,11691,1,a,1
2019-02-11,2,1,17110,1,b,0
2019-02-12,19,7,3523,1,c,0
2019-02-13,18,6,13543,1,c,1
2019-02-14,3,4,7270,0,a,0
2019-02-15,17,2,6088,0,c,1
2019-02-16,8,1,8564,0,c,0
2019-02-17,10,3,8066,0,a,0
2019-02-18,2,5,7545,1,0,0
2019-02-19,19,5,3321,0,a,1
2019-02-20,9,7,14132,0,b,1
2019-02-21,7,4,9330,1,0,0
2019-02-22,4,3,9294,0,b,1
2019-02-23,18,7,14553,0,0,0
2019-02-24,13,6,6333,1,0,1
2019-02-25,11,6,8858,1,a,0
2019-02-26,4,7,6389,0,a,0
2019-02-27,4,2,19232,0,b,1
2019-02-28,10,5,4205,0,a,1
2019-03-01,5,3,3161,0,0,0
2019-03-02,9,4,18848,0,a,1
2019-03-03,3,1,1643,1,b,0
2019-03-04,17,4,15986,0,0,0
2019-03-05,3,4,12628,0,b,1
2019-03-06,16,3,6351,0,c,1
2019-03-07,4,5,5553,0,a,1
2019-03-08,18,3,7518,0,0,1
2019-03-09,17,1,6723,0,b,0
2019-03-10,7,7,8946,0,a,0
2019-03-11,5,3,1610,0,a,0
2019-03-12,12,2,5302,0,b,1
2019-03-13,17,4,2543,1,0,1
2019-03-14,13,5,2466,1,b,0
2019-03-15,3,6,10108,0,a,1
2019-03-16,9,1,15656,0,b,1
2019-03-17,17,6,7236,0,c,1
2019-03-18,17,4,14719,0,a,0
2019-03-19,16,3,18565,0,0,0
2019-03-20,13,6,19530,0,c,1
2019-03-21,19,2,19656,1,b,0
2019-03-22,17,3,10043,0,0,0
2019-03-23,4,4,5536,1,c,0
2019-03-24,12,6,18103,1,b,0
2019-03-25,9,7,11206,1,c,0
2019-03-26,19,1,4642,1,a,1
2019-03-27,12,6,13062,1,0,0
2019-03-28,9,7,17447,1,c,1
2019-03-29,7,7,14055,1,a,1
2019-03-30,14,6,1559,1,b,0
2019-03-31,19,5,2733,1,a,0
2019-04-01,15,6,9861,0,b,0
2019-04-02,16,4,2542,0,0,0
2019-04-03,5,7,10463,1,a,1
2019-04-04,3,1,3415,1,a,1
2019-04-05,12,4,11983,1,b,1
2019-04-06,4,2,13905,0,c,0
2019-04-07,16,3,6387,0,b,1
2019-04-08,7,6,9187,1,c,1
2019-04-09,13,5,7643,1,b,0
2019-04-10,10,1,16667,1,0,0
2019-04-11,7,5,12246,1,c,0
2019-04-12,14,5,3458,1,a,1
2019-04-13,5,5,7028,1,c,0
2019-04-14,3,6,6447,0,b,1
2019-04-15,11,1,2948,0,b,0
2019-04-16,11,1,7306,0,c,1
2019-04-17,18,7,9251,1,a,1
2019-04-18,15,5,9092,1,0,0
2019-04-19,12,7,13363,0,a,1
2019-04-20,9,7,15066,0,c,0
2019-04-21,10,3,17129,1,b,0
2019-04-22,12,6,16776,0,a,0
2019-04-23,17,6,1189,0,b,1
2019-04-24,6,4,12752,0,b,1
2019-04-25,7,7,8482,0,a,1
2019-04-26,14,6,17679,1,c,0
2019-04-27,13,5,1799,1,a,1
2019-04-28,8,2,10934,1,0,1
2019-04-29,10,5,9788,1,b,0
2019-04-30,9,1,10909,0,b,0
2019-05-01,18,6,13415,0,c,0
2019-05-02,2,6,11790,0,b,0
2019-05-03,5,4,14846,1,b,0
2019-05-04,5,7,5714,1,b,0
2019-05-05,6,2,12408,1,a,0
2019-05-06,19,6,3839,1,b,1
2019-05-07,8,4,4513,0,a,0
2019-05-08,16,4,14601,1,c,0
2019-05-09,13,2,2135,0,0,0
2019-05-10,1,5,12913,0,b,0
2019-05-11,17,5,11101,0,0,0
2019-05-12,7,5,19631,1,a,1
2019-05-13,13,3,7548,1,c,0
2019-05-14,4,7,5516,0,c,1
2019-05-15,4,7,5102,0,a,1
2019-05-16,6,5,17217,1,0,0
2019-05-17,19,2,18932,1,b,0
2019-05-18,12,3,5511,1,a,0
2019-05-19,7,7,15024,1,a,1
2019-05-20,10,5,12413,0,a,0
2019-05-21,19,3,17319,0,a,1
2019-05-22,7,2,13715,0,a,1
2019-05-23,3,5,8975,0,c,0
2019-05-24,13,1,13621,0,a,0
2019-05-25,13,6,11511,0,c,1
2019-05-26,18,2,11558,1,0,1
2019-05-27,8,4,1526,0,b,0
2019-05-28,9,4,2753,1,c,0
2019-05-29,7,2,15656,1,b,1
2019-05-30,1,4,11220,0,b,1
2019-05-31,3,7,19038,1,b,0
2019-06-01,13,2,13741,0,c,1
2019-06-02,17,1,5841,0,c,0
2019-06-03,1,2,5041,1,c,0
2019-06-04,6,5,9965,1,0,0
2019-06-05,6,5,15418,1,c,1
2019-06-06,12,3,5417,1,0,1
2019-06-07,13,4,9977,1,c,1
2019-06-08,13,6,15587,1,c,0
2019-06-09,15,4,1448,1,b,0
2019-06-10,16,7,5585,1,a,0
2019-06-11,11,2,13751,1,b,1
2019-06-12,5,6,9108,0,c,0
2019-06-13,4,6,16534,0,a,0
2019-06-14,3,4,12443,1,a,0
2019-06-15,19,6,1294,1,0,1
2019-06-16,18,6,2238,1,a,1
2019-06-17,15,5,16321,0,0,1
2019-06-18,9,1,17074,0,b,1
2019-06-19,17,2,14049,1,0,1
2019-06-20,14,4,3816,1,c,1
2019-06-21,15,5,2098,1,a,1
2019-06-22,1,7,15679,1,c,0
2019-06-23,3,7,2737,0,a,0
2019-06-24,16,3,19573,0,a,0
2019-06-25,11,6,3765,1,b,0
2019-06-26,12,6,18606,1,0,1
2019-06-27,10,4,15230,0,b,1
2019-06-28,16,1,12434,0,0,0
2019-06-29,8,1,13091,1,b,0
2019-06-30,6,4,1410,1,b,1
2019-07-01,12,4,5786,0,a,1
2019-07-02,8,5,10069,0,b,1
2019-07-03,4,7,18170,0,b,0
2019-07-04,8,4,19493,1,0,1
2019-07-05,18,7,6835,0,b,0
2019-07-06,5,3,2986,1,a,1
2019-07-07,9,7,9126,0,b,1
2019-07-08,4,5,10070,0,c,0
2019-07-09,17,6,8300,0,c,1
2019-07-10,9,6,16548,1,0,0
2019-07-11,1,7,3403,1,0,1
2019-07-12,13,6,9262,0,c,1
2019-07-13,16,6,11502,1,b,0
2019-07-14,13,2,7701,0,b,1
2019-07-15,14,3,4295,1,0,1
2019-07-16,3,5,16687,0,a,1
2019-07-17,6,5,13875,0,b,1
2019-07-18,18,6,3121,1,c,1
2019-07-19,19,1,4582,0,a,1
2019-07-20,5,5,15477,1,a,1
2019-07-21,15,3,10821,0,b,1
2019-07-22,2,4,6700,1,a,1
2019-07-23,10,3,8232,0,0,0
2019-07-24,18,6,5288,0,a,1
2019-07-25,13,6,2085,1,0,1
2019-07-26,5,2,16891,0,b,1
2019-07-27,1,7,16600,1,a,0
2019-07-28,1,5,9645,0,c,0
2019-07-29,18,7,9810,0,c,0
2019-07-30,15,7,9828,0,0,0
2019-07-31,17,5,19732,0,0,0
2019-08-01,11,5,5874,1,b,0
2019-08-02,17,6,14767,1,a,1
2019-08-03,13,5,11913,1,0,0
2019-08-04,1,1,17215,0,0,1
2019-08-05,2,1,19733,1,b,1
2019-08-06,9,4,15332,1,a,1
2019-08-07,3,5,5432,0,a,0
2019-08-08,1,2,8265,1,0,1
2019-08-09,16,4,7103,0,a,1
2019-08-10,6,6,12012,0,a,0
2019-08-11,17,5,16900,1,a,0
2019-08-12,5,1,3031,1,c,1
2019-08-13,5,2,18633,1,a,0
2019-08-14,6,4,9519,1,c,0
2019-08-15,3,2,9988,0,a,1
2019-08-16,5,5,6299,1,a,1
2019-08-17,5,3,13952,0,a,1
2019-08-18,10,2,4094,1,0,1
2019-08-19,10,2,3977,0,0,1
2019-08-20,19,6,18346,1,c,1
2019-08-21,17,1,6725,1,a,1
2019-08-22,14,5,2268,0,c,1
2019-08-23,9,2,17161,1,a,0
2019-08-24,14,5,17756,1,b,0
2019-08-25,1,1,8617,1,c,0
2019-08-26,19,6,16032,1,0,0
2019-08-27,13,5,13934,0,b,0
2019-08-28,13,7,12885,0,0,1
2019-08-29,4,1,10796,1,b,0
2019-08-30,1,1,7279,0,b,0
2019-08-31,17,4,1095,1,b,1
2019-09-01,8,6,16478,0,c,0
2019-09-02,2,6,8021,0,c,1
2019-09-03,8,7,16185,0,0,0
2019-09-04,7,5,6868,1,c,0
2019-09-05,2,3,14071,0,0,1
2019-09-06,3,7,9041,0,a,0
2019-09-07,18,4,17515,1,0,0
2019-09-08,12,6,12307,0,0,0
2019-09-09,1,1,8290,1,c,1
2019-09-10,12,6,16495,0,0,1
2019-09-11,5,7,7516,1,c,1
2019-09-12,17,3,10341,0,0,1
2019-09-13,16,2,12702,1,a,1
2019-09-14,15,2,1807,0,c,0
2019-09-15,15,6,14031,0,c,0
2019-09-16,5,6,17434,1,a,1
2019-09-17,14,4,12400,0,c,1
2019-09-18,2,6,17439,0,0,0
2019-09-19,11,3,4664,1,b,1
2019-09-20,19,6,1743,1,c,0
2019-09-21,7,5,7030,0,b,1
2019-09-22,6,7,15661,1,0,1
2019-09-23,2,3,15975,0,a,0
2019-09-24,6,4,1079,1,c,0
2019-09-25,18,5,15809,1,b,1
2019-09-26,2,5,13132,1,a,1
2019-09-27,18,7,3966,1,a,0
2019-09-28,15,2,16534,0,c,0
2019-09-29,19,3,4728,1,b,1
2019-09-30,2,7,5536,0,c,0
2019-10-01,6,5,17509,0,0,1
2019-10-02,1,4,6813,0,a,1
2019-10-03,15,7,1947,0,b,1
2019-10-04,10,2,13565,0,c,1
2019-10-05,19,5,16844,1,a,1
2019-10-06,17,7,1594,1,c,1
2019-10-07,5,3,17524,0,b,1
2019-10-08,4,2,15017,0,0,0
2019-10-09,10,3,5205,1,0,0
2019-10-10,17,3,8782,0,0,1
2019-10-11,10,3,3660,1,c,0
2019-10-12,17,7,17013,0,a,1
2019-10-13,5,2,7856,1,0,1
2019-10-14,2,7,7089,1,0,0
2019-10-15,6,7,6318,0,0,0
2019-10-16,2,7,16405,1,0,1
2019-10-17,13,5,19936,0,b,0
2019-10-18,11,6,9062,1,b,1
2019-10-19,11,1,18424,1,a,0
2019-10-20,16,5,9506,0,b,1
2019-10-21,11,2,12651,1,b,1
2019-10-22,19,1,16730,1,b,1
2019-10-23,15,1,4236,0,c,0
2019-10-24,16,1,4680,1,b,1
2019-10-25,11,6,16383,0,c,1
2019-10-26,16,7,12298,0,c,0
2019-10-27,8,4,18921,1,b,0
2019-10-28,4,2,4872,0,c,1
2019-10-29,8,6,2867,1,0,0
2019-10-30,4,6,16820,1,a,1
2019-10-31,3,4,18545,0,b,1
2019-11-01,3,1,4920,1,b,1
2019-11-02,18,7,6693,1,a,0
2019-11-03,19,4,11948,1,b,0
2019-11-04,19,4,9456,0,b,0
2019-11-05,5,6,7331,0,a,1
2019-11-06,18,2,14107,1,c,1
2019-11-07,10,3,10494,0,0,1
2019-11-08,6,7,14853,1,c,0
2019-11-09,1,4,10386,1,0,0
2019-11-10,5,7,18910,0,a,1
2019-11-11,9,4,9131,0,c,0
2019-11-12,12,1,12796,0,c,0
2019-11-13,14,7,2158,1,0,0
2019-11-14,2,1,18528,0,0,0
2019-11-15,17,6,1068,1,0,1
2019-11-16,14,1,4717,1,0,1
2019-11-17,13,7,16218,1,b,1
2019-11-18,9,5,12200,0,a,0
2019-11-19,15,7,16855,0,0,0
2019-11-20,15,4,10361,0,c,0
2019-11-21,11,1,16692,1,c,1
2019-11-22,16,2,12526,1,c,0
2019-11-23,17,5,11207,0,0,1
2019-11-24,4,6,10231,0,a,1
2019-11-25,1,3,16063,0,b,1
2019-11-26,8,4,5723,0,0,0
2019-11-27,17,4,5213,0,0,1
