id_cliente,renda_mensal,idade,score_credito,tempo_emprego,num_cartoes,percentual_comprometido,pagamentos_atraso,valor_divida,risco_credito
359,18864.37,27,710,22.9,7,0.36,9,17136.71,0
360,11934.01,29,437,18.2,5,0.76,9,6595.27,0
361,8375.23,71,507,6.0,3,0.14,8,28773.53,0
362,13222.48,21,606,18.0,6,0.88,4,17107.18,0
363,9706.8,48,565,11.1,4,0.96,5,33815.84,0
364,11366.72,35,617,37.7,4,0.0,0,37072.97,1
365,18887.83,33,412,35.4,8,0.84,4,29234.64,0
366,8335.95,57,677,3.4,2,0.51,5,13803.48,0
367,19262.62,53,753,20.7,9,0.46,9,25430.39,0
368,18201.66,42,490,9.0,3,0.24,1,12596.54,0
369,4720.03,40,739,16.4,4,0.45,6,45145.64,0
370,2317.86,29,486,35.1,0,0.95,3,38319.29,0
371,2914.78,51,666,21.1,6,0.21,4,24650.3,0
372,1346.21,53,388,13.4,7,0.18,2,48272.86,0
373,2794.42,54,486,8.3,5,0.24,4,27337.77,0
374,13977.13,20,431,32.0,8,0.55,3,16426.77,0
375,2352.58,26,675,25.0,2,0.93,9,4773.37,0
376,7060.54,70,398,18.7,1,0.57,5,27187.28,0
377,17052.63,35,333,8.7,4,0.24,1,43020.83,0
378,1442.17,60,470,13.4,8,0.44,2,43335.94,0
379,16474.9,52,665,38.4,0,0.39,9,30228.35,0
380,6355.24,74,358,20.8,0,0.05,0,19671.92,0
381,3245.13,72,480,16.0,9,0.51,6,32514.82,0
382,14238.01,51,318,20.9,2,0.13,8,38107.02,0
383,12949.91,58,525,31.2,9,0.84,1,20581.24,0
384,17671.97,31,772,13.6,2,0.55,6,23812.71,0
385,14966.35,21,394,7.1,4,0.84,2,34030.82,0
386,16266.14,46,596,23.4,3,0.96,4,43832.63,0
387,6358.66,58,474,26.6,5,0.94,5,39550.52,0
388,4371.35,62,521,28.5,7,0.1,7,1119.57,0
389,15261.68,67,353,35.3,7,0.94,3,6218.62,0
390,16329.86,32,702,14.8,3,0.8,1,42638.91,0
391,19819.6,45,617,3.0,0,0.78,2,41691.14,0
392,8839.74,59,648,38.3,6,0.09,7,19440.34,0
393,8068.34,33,742,17.4,5,0.18,6,29213.9,0
394,15751.85,29,839,24.9,4,0.98,5,45292.25,0
395,7475.27,69,581,26.7,3,0.21,4,45577.93,0
396,18684.39,22,659,21.9,5,0.17,4,39154.64,0
397,17309.84,51,307,8.2,7,0.36,0,10479.45,0
398,9150.89,59,790,30.2,5,0.91,5,36514.14,0
399,15266.55,18,640,32.2,2,0.48,8,5054.92,0
400,15336.31,56,771,22.1,8,0.92,7,44696.92,0
401,2959.35,49,548,19.5,2,0.33,9,7457.44,0
402,18148.51,43,534,4.6,3,0.23,0,33117.43,0
403,10599.8,34,382,3.4,4,0.5,5,30512.16,0
404,16702.69,65,392,13.6,1,0.62,2,38844.98,0
405,7080.94,44,693,12.4,9,0.39,5,27578.88,0
406,18014.94,41,567,38.1,9,0.35,8,2978.33,0
407,8394.83,52,716,31.3,1,0.22,5,35292.31,0
408,1205.92,63,828,26.4,5,0.28,7,19157.73,0
409,18202.26,59,552,20.7,1,0.67,5,16014.25,0
410,2734.45,71,421,6.7,9,0.37,5,49583.68,0
411,7066.96,56,309,39.1,0,0.08,6,29519.99,0
412,19051.18,43,615,15.0,7,0.14,9,35535.95,0
413,19061.54,66,572,4.3,9,0.37,3,26316.31,0
414,11895.32,55,605,19.8,9,0.92,7,38498.63,0
415,13004.91,40,509,35.0,0,0.38,3,37603.64,0
416,9520.46,39,763,35.5,9,0.06,6,32857.31,0
417,6571.0,21,715,0.4,5,0.42,0,49887.15,0
418,7244.63,66,515,35.5,0,0.67,8,22989.68,0
419,13777.85,26,379,10.9,7,0.59,9,35309.62,0
420,15295.12,21,779,1.6,4,0.28,8,39888.9,0
421,16040.0,24,846,33.9,2,0.69,6,18801.74,0
422,16002.74,40,317,34.6,4,0.63,7,22858.75,0
423,2732.92,19,464,23.8,0,0.17,1,48458.36,0
424,10393.99,66,824,23.0,0,0.16,9,1614.55,0
425,2093.62,41,501,32.5,3,0.55,9,16764.78,0
426,11441.05,57,645,31.5,8,0.66,6,24310.65,0
427,9389.08,72,665,35.6,8,0.96,0,73.25,0
428,17866.38,48,747,22.1,0,0.42,2,44956.36,0
429,7667.39,64,812,38.7,2,0.76,5,14312.22,0
430,3224.27,48,618,39.8,3,0.12,4,12885.24,0
431,3716.84,64,516,4.7,1,0.89,4,41016.31,0
432,15468.7,57,333,34.0,6,0.63,8,13899.16,0
433,12746.14,65,565,20.0,2,0.63,5,32881.13,0
434,2921.33,68,379,15.5,0,0.14,2,41075.16,0
435,2598.03,60,712,24.5,0,0.04,1,39623.84,1
436,14318.41,51,551,2.2,2,0.7,8,39097.54,0
437,2382.5,72,311,20.3,5,0.12,9,4431.88,0
438,16615.34,41,700,34.8,3,0.13,3,3992.35,0
439,14418.6,66,581,8.5,0,0.19,4,15338.5,0
440,2545.63,43,411,17.1,6,0.1,8,1797.39,0
441,2611.92,33,677,37.6,1,0.63,4,25021.49,0
442,19746.15,74,567,17.1,4,0.42,6,19739.1,0
443,8111.15,64,597,14.3,7,0.27,1,27851.3,0
444,8042.2,30,616,17.6,6,0.44,1,14939.43,0
445,16443.19,32,808,20.8,7,0.84,3,24287.7,0
446,18997.72,44,845,25.3,9,0.93,7,16737.24,0
447,19734.02,21,664,32.0,5,0.49,1,9760.4,0
448,15314.19,33,846,18.1,6,0.57,9,32468.33,0
449,8148.93,47,570,32.7,8,0.26,6,33671.8,0
450,2586.51,61,773,21.3,5,0.51,0,41461.58,0
451,15765.79,47,836,13.5,8,0.75,8,43737.59,0
452,11609.68,53,533,26.3,1,0.49,9,35223.1,0
453,9060.22,20,358,28.7,1,0.3,5,34374.9,0
454,18220.73,39,550,22.3,1,0.58,0,2833.78,0
455,3112.75,66,385,2.3,5,0.95,9,5488.96,0
456,10359.88,39,689,6.8,1,0.89,5,40628.14,0
457,1215.72,67,479,11.4,2,0.77,4,11647.56,0
458,9904.55,74,448,11.3,7,0.28,4,17778.25,0
459,2069.76,67,420,26.9,7,0.24,4,7264.87,0
460,3257.54,72,555,0.7,3,0.84,3,9757.6,0
461,3233.0,66,608,30.2,8,0.18,6,38770.86,0
462,13335.0,29,358,10.6,7,0.61,8,13092.98,0
