id_candidato,cargo,tempo_experiencia,num_projetos,certificacoes,escolaridade,avaliacao_tecnica,avaliacao_comportamental,candidato_apto
8488,Cientista de Dados,11,18,7,Pós-graduação,7.4,6.5,1
7325,Programador,18,43,8,Doutorado,7.4,9.7,1
9941,Programador,12,31,7,Graduação,1.2,9.7,0
5053,Analista de Dados,4,8,6,Graduação,8.2,1.0,0
2788,Cientista de Dados,12,39,2,Doutorado,8.0,8.2,1
2690,Cientista de Dados,3,21,9,Mestrado,9.6,2.4,0
5349,Cientista de Dados,12,3,2,Doutorado,7.7,7.9,0
2343,Analista de Dados,6,35,0,Doutorado,6.9,7.2,1
6144,Programador,2,32,5,Mestrado,7.4,8.6,0
7916,Cientista de Dados,9,5,7,Graduação,3.8,1.4,0
5833,Programador,7,40,2,Mestrado,2.9,4.0,0
7224,Cientista de Dados,11,28,9,Doutorado,9.5,8.1,1
7097,Programador,4,17,3,Graduação,10.0,9.2,1
5111,Analista de Dados,6,15,3,Doutorado,3.8,3.0,0
1280,Cientista de Dados,10,20,9,Pós-graduação,7.9,6.3,1
2298,Analista de Dados,17,8,5,Pós-graduação,6.3,9.7,1
7727,Cientista de Dados,11,38,0,Pós-graduação,6.8,9.3,1
7303,Analista de Dados,11,21,3,Pós-graduação,2.6,6.9,0
8145,Analista de Dados,10,49,8,Pós-graduação,7.9,7.0,1
7983,Programador,3,31,1,Graduação,6.2,8.8,1
2564,Analista de Dados,7,6,1,Graduação,7.7,5.3,0
3063,Analista de Dados,13,9,6,Doutorado,6.5,7.5,1
1949,Cientista de Dados,14,19,3,Mestrado,6.3,6.7,1
9075,Programador,19,38,1,Graduação,9.4,6.1,1
8371,Analista de Dados,10,19,4,Graduação,8.4,9.8,1
5678,Analista de Dados,15,42,8,Mestrado,8.6,7.1,1
6939,Cientista de Dados,18,44,0,Mestrado,2.9,9.9,0
1554,Cientista de Dados,12,20,5,Doutorado,6.4,7.4,1
1421,Cientista de Dados,5,46,6,Graduação,6.8,7.7,1
7110,Cientista de Dados,18,49,4,Graduação,6.7,7.3,1
1435,Programador,3,5,1,Pós-graduação,7.0,2.9,0
683,Cientista de Dados,16,37,5,Doutorado,6.9,8.0,1
3419,Programador,19,11,5,Pós-graduação,4.3,8.4,0
9574,Analista de Dados,16,13,1,Graduação,1.8,6.8,0
7573,Programador,16,27,7,Doutorado,7.3,7.6,1
3925,Analista de Dados,13,36,4,Graduação,3.0,6.5,0
8471,Programador,0,40,5,Graduação,5.1,4.1,0
6528,Cientista de Dados,6,16,2,Mestrado,5.9,3.0,0
4084,Cientista de Dados,3,49,5,Doutorado,8.0,3.2,0
9483,Programador,8,3,6,Mestrado,2.2,1.5,0
4637,Cientista de Dados,5,12,4,Pós-graduação,8.2,9.3,1
3690,Programador,13,19,8,Graduação,8.5,7.1,1
9109,Analista de Dados,17,7,8,Doutorado,8.5,6.3,1
1020,Analista de Dados,15,16,2,Pós-graduação,2.3,9.0,0
6245,Analista de Dados,17,16,0,Pós-graduação,8.4,2.0,0
8696,Programador,15,9,5,Graduação,10.0,6.1,1
7819,Cientista de Dados,11,31,3,Mestrado,6.4,4.5,0
3752,Analista de Dados,12,44,4,Graduação,8.1,9.8,1
9868,Programador,11,31,5,Graduação,7.5,3.2,0
6069,Programador,10,22,1,Doutorado,8.3,6.4,1
1511,Cientista de Dados,18,24,8,Pós-graduação,4.5,7.1,0
3798,Programador,15,31,6,Doutorado,1.2,3.7,0
536,Cientista de Dados,14,27,1,Pós-graduação,8.7,1.3,0
1819,Programador,3,33,4,Graduação,6.5,4.4,0
7732,Analista de Dados,16,6,5,Graduação,8.1,8.1,1
9697,Cientista de Dados,19,19,4,Mestrado,6.6,6.6,1
2409,Cientista de Dados,3,11,2,Mestrado,7.8,7.7,1
6196,Programador,5,44,2,Doutorado,7.1,9.7,1
8685,Cientista de Dados,7,44,2,Mestrado,6.8,8.7,1
5188,Cientista de Dados,4,47,2,Doutorado,6.0,6.9,1
1673,Analista de Dados,4,40,9,Graduação,4.9,1.8,0
8485,Programador,13,1,1,Graduação,3.7,7.9,0
7351,Programador,12,6,0,Doutorado,6.2,8.9,1
3462,Analista de Dados,11,43,7,Graduação,8.0,7.5,1
4811,Analista de Dados,13,19,2,Pós-graduação,4.5,1.3,0
2485,Cientista de Dados,9,46,3,Mestrado,5.8,2.0,0
6130,Cientista de Dados,15,41,6,Graduação,9.9,6.9,1
6328,Programador,5,12,0,Mestrado,7.9,6.4,1
2206,Cientista de Dados,10,24,0,Graduação,7.0,5.3,0
1036,Cientista de Dados,0,0,2,Mestrado,2.5,9.3,0
4010,Programador,4,48,5,Mestrado,7.7,9.6,1
1191,Programador,17,40,5,Mestrado,6.3,7.4,1
181,Programador,9,48,2,Pós-graduação,7.4,7.4,1
4112,Programador,19,40,3,Doutorado,9.3,8.7,1
7007,Analista de Dados,19,12,8,Graduação,6.6,8.3,1
1858,Programador,8,24,6,Mestrado,7.6,9.8,1
4231,Programador,15,15,0,Mestrado,5.6,6.2,0
3524,Cientista de Dados,4,46,0,Pós-graduação,6.3,7.6,1
5945,Programador,6,29,3,Mestrado,6.2,7.0,1
820,Analista de Dados,17,26,8,Graduação,7.4,9.8,1
1506,Cientista de Dados,9,40,1,Graduação,8.3,9.4,1
5180,Cientista de Dados,11,7,9,Doutorado,5.1,4.2,0
6554,Cientista de Dados,9,21,4,Pós-graduação,2.4,2.9,0
7403,Cientista de Dados,9,29,2,Pós-graduação,7.9,6.9,1
8329,Cientista de Dados,12,37,2,Pós-graduação,10.0,7.8,1
6769,Programador,11,48,4,Doutorado,6.3,6.9,1
5321,Cientista de Dados,5,19,4,Pós-graduação,6.4,7.4,1
7663,Analista de Dados,6,31,5,Doutorado,6.6,9.2,1
8825,Programador,14,40,5,Pós-graduação,6.5,7.0,1
2427,Programador,8,10,6,Doutorado,2.5,1.2,0
3531,Cientista de Dados,7,42,9,Pós-graduação,9.0,5.8,0
1428,Analista de Dados,13,10,2,Pós-graduação,8.4,7.8,1
2366,Cientista de Dados,19,25,9,Pós-graduação,8.7,8.2,1
4522,Analista de Dados,8,49,1,Doutorado,7.7,5.3,0
3048,Analista de Dados,1,5,2,Mestrado,8.6,1.9,0
4406,Analista de Dados,6,17,7,Doutorado,8.6,4.8,0
1864,Cientista de Dados,9,44,6,Mestrado,7.2,9.5,1
8860,Programador,4,28,0,Graduação,6.5,6.6,1
1953,Cientista de Dados,6,49,7,Doutorado,6.1,9.5,1
82,Programador,11,38,5,Pós-graduação,9.3,7.6,1
1571,Analista de Dados,5,9,8,Pós-graduação,3.7,8.0,0
470,Analista de Dados,8,28,4,Doutorado,1.3,2.9,0
5476,Programador,6,17,0,Graduação,9.8,5.3,0
492,Cientista de Dados,13,16,1,Doutorado,9.2,10.0,1
7277,Cientista de Dados,17,14,1,Pós-graduação,10.0,9.5,1
9414,Analista de Dados,11,19,5,Mestrado,8.8,6.6,1
1566,Analista de Dados,2,6,8,Graduação,7.0,2.1,0
8748,Cientista de Dados,9,18,5,Mestrado,6.8,9.2,1
9316,Analista de Dados,3,13,2,Mestrado,7.5,3.7,0
5708,Programador,16,31,6,Doutorado,8.0,7.7,1
5432,Programador,7,30,5,Graduação,1.3,5.8,0
1121,Cientista de Dados,9,24,0,Doutorado,6.8,6.8,1
2289,Analista de Dados,11,10,6,Mestrado,6.3,8.9,1
3418,Programador,11,36,6,Graduação,3.5,8.7,0
9012,Programador,1,43,4,Graduação,6.7,5.8,0
2575,Cientista de Dados,11,31,1,Doutorado,9.5,7.4,1
4384,Programador,1,4,3,Doutorado,6.5,9.5,0
9359,Analista de Dados,13,34,4,Pós-graduação,9.1,6.2,1
8675,Programador,19,10,9,Graduação,6.1,6.0,1
1508,Analista de Dados,6,32,4,Doutorado,7.9,9.0,1
469,Programador,2,21,1,Pós-graduação,7.7,2.1,0
6608,Analista de Dados,15,26,5,Mestrado,6.4,9.7,1
70,Programador,16,27,5,Graduação,9.7,9.0,1
1777,Programador,16,45,4,Graduação,8.9,8.3,1
2399,Cientista de Dados,1,31,1,Doutorado,6.3,9.2,0
6170,Analista de Dados,12,33,5,Doutorado,8.3,7.2,1
8593,Analista de Dados,11,49,8,Graduação,2.2,7.8,0
4904,Programador,12,30,3,Doutorado,1.4,2.0,0
62,Programador,1,15,6,Mestrado,2.5,9.7,0
1640,Analista de Dados,18,29,9,Pós-graduação,9.8,7.3,1
3496,Programador,4,24,7,Pós-graduação,8.9,6.2,1
7920,Programador,9,21,7,Graduação,6.4,8.3,1
5084,Programador,7,20,8,Graduação,9.8,8.8,1
8784,Analista de Dados,10,23,8,Doutorado,7.7,7.1,1
2295,Programador,16,20,3,Graduação,8.9,7.5,1
3441,Cientista de Dados,4,27,5,Graduação,7.1,6.8,1
7420,Analista de Dados,7,29,4,Pós-graduação,8.6,9.4,1
616,Programador,17,28,8,Graduação,8.6,8.6,1
9463,Analista de Dados,11,13,5,Doutorado,6.5,7.4,1
9927,Analista de Dados,7,37,3,Doutorado,3.9,6.6,0
424,Programador,11,21,2,Graduação,6.4,9.1,1
4504,Cientista de Dados,1,15,0,Pós-graduação,8.0,2.1,0
1831,Programador,13,34,2,Mestrado,8.7,9.1,1
7958,Cientista de Dados,4,24,3,Pós-graduação,2.7,3.0,0
5299,Cientista de Dados,0,20,6,Graduação,6.5,10.0,0
3313,Cientista de Dados,12,24,0,Doutorado,7.7,3.6,0
6322,Cientista de Dados,19,14,6,Pós-graduação,9.0,7.5,1
2975,Programador,16,11,1,Mestrado,7.9,8.6,1
5266,Analista de Dados,12,18,5,Graduação,1.7,8.0,0
1717,Cientista de Dados,9,9,0,Doutorado,6.8,6.5,1
8891,Programador,9,19,9,Mestrado,6.9,7.0,1
9358,Cientista de Dados,13,14,2,Doutorado,8.9,6.1,1
9705,Analista de Dados,6,21,7,Pós-graduação,4.8,5.7,0
909,Cientista de Dados,9,35,4,Graduação,6.2,8.5,1
9815,Cientista de Dados,4,43,5,Mestrado,10.0,8.1,1
4865,Programador,3,43,4,Doutorado,9.4,6.8,1
9226,Cientista de Dados,15,42,6,Pós-graduação,9.9,7.8,1
2614,Programador,9,35,6,Pós-graduação,7.7,7.3,1
19,Cientista de Dados,18,23,6,Pós-graduação,8.1,7.7,1
7867,Analista de Dados,13,11,1,Doutorado,6.0,7.4,1
4737,Analista de Dados,8,6,3,Pós-graduação,8.7,8.7,1
3969,Programador,3,29,9,Doutorado,8.8,7.1,1
7016,Analista de Dados,7,12,4,Doutorado,8.1,9.0,1
6778,Analista de Dados,6,42,1,Graduação,7.7,7.3,1
6924,Cientista de Dados,7,36,7,Graduação,1.9,6.2,0
6965,Cientista de Dados,11,5,2,Doutorado,5.0,3.6,0
9100,Programador,5,3,5,Graduação,5.2,8.7,0
5562,Programador,13,35,6,Doutorado,7.6,7.0,1
8407,Cientista de Dados,15,13,3,Pós-graduação,9.2,8.5,1
3011,Programador,4,47,9,Mestrado,2.7,2.8,0
499,Cientista de Dados,3,29,5,Pós-graduação,3.2,4.5,0
9777,Analista de Dados,14,8,4,Pós-graduação,9.9,8.3,1
274,Cientista de Dados,15,27,6,Doutorado,7.2,8.3,1
9498,Programador,3,27,5,Graduação,7.4,8.4,1
9702,Programador,12,14,6,Pós-graduação,6.8,7.4,1
2644,Programador,18,47,3,Mestrado,6.6,9.0,1
793,Programador,12,38,9,Mestrado,2.5,1.8,0
1836,Analista de Dados,8,30,5,Mestrado,4.3,2.1,0
4200,Cientista de Dados,7,36,7,Graduação,7.5,9.9,1
540,Cientista de Dados,13,43,0,Mestrado,8.3,7.0,1
4047,Programador,8,25,1,Pós-graduação,4.6,4.1,0
5177,Cientista de Dados,14,46,3,Mestrado,1.3,7.5,0
5276,Cientista de Dados,9,43,4,Doutorado,6.1,6.7,1
1215,Programador,11,26,0,Pós-graduação,1.7,2.7,0
1676,Programador,19,16,1,Doutorado,4.1,1.7,0
1459,Cientista de Dados,18,32,3,Graduação,3.9,6.8,0
1254,Programador,7,47,1,Mestrado,2.0,7.1,0
1468,Analista de Dados,17,6,6,Pós-graduação,9.7,6.0,1
8816,Analista de Dados,5,37,9,Pós-graduação,9.0,9.2,1
3456,Programador,1,27,4,Graduação,3.0,1.7,0
855,Programador,11,18,5,Doutorado,7.4,9.9,1
2803,Cientista de Dados,5,49,0,Mestrado,3.1,2.5,0
4302,Cientista de Dados,17,21,4,Graduação,7.5,7.1,1
6353,Programador,6,11,9,Pós-graduação,6.5,7.5,1
7088,Cientista de Dados,0,37,9,Graduação,8.2,9.9,0
1384,Programador,8,11,8,Graduação,9.8,1.7,0
8575,Programador,7,41,8,Doutorado,9.0,4.1,0
8917,Analista de Dados,2,22,2,Doutorado,5.2,9.0,0
4944,Cientista de Dados,4,24,0,Pós-graduação,9.5,6.5,1
3527,Cientista de Dados,5,38,6,Doutorado,8.5,4.1,0
1165,Analista de Dados,8,16,8,Doutorado,6.9,9.9,1
1367,Analista de Dados,18,7,1,Graduação,9.8,9.9,1
5317,Cientista de Dados,9,48,7,Doutorado,3.6,6.8,0
9817,Cientista de Dados,8,37,0,Graduação,2.1,3.7,0
254,Programador,17,42,8,Mestrado,4.7,7.5,0
9375,Cientista de Dados,10,12,1,Pós-graduação,9.9,9.8,1
6772,Cientista de Dados,7,27,8,Pós-graduação,1.9,1.1,0
8722,Programador,15,12,7,Mestrado,3.3,4.3,0
8620,Programador,4,19,7,Graduação,2.5,4.4,0
1561,Analista de Dados,4,48,7,Graduação,5.4,7.6,0
7833,Programador,5,1,3,Graduação,1.1,2.2,0
8815,Programador,10,7,9,Graduação,5.5,9.9,0
3771,Cientista de Dados,14,12,2,Graduação,6.4,7.6,1
4286,Programador,16,35,5,Graduação,3.5,9.9,0
3818,Analista de Dados,10,43,6,Pós-graduação,6.5,7.0,1
7362,Cientista de Dados,4,40,6,Doutorado,8.2,7.4,1
3446,Programador,16,25,0,Mestrado,2.5,9.2,0
6535,Analista de Dados,0,17,1,Pós-graduação,3.0,8.3,0
1101,Cientista de Dados,8,48,4,Doutorado,8.8,6.6,1
932,Analista de Dados,6,43,0,Doutorado,6.3,8.0,1
4144,Cientista de Dados,2,47,9,Doutorado,6.8,3.4,0
8674,Analista de Dados,8,10,0,Mestrado,9.0,6.2,1
876,Analista de Dados,10,44,3,Graduação,7.7,6.4,1
9473,Cientista de Dados,10,32,0,Doutorado,4.8,1.8,0
8606,Cientista de Dados,17,10,8,Doutorado,8.1,9.5,1
4536,Cientista de Dados,19,33,6,Mestrado,9.2,8.2,1
5492,Programador,8,34,7,Pós-graduação,7.7,7.5,1
3095,Analista de Dados,11,34,9,Pós-graduação,7.9,7.6,1
1291,Analista de Dados,6,45,1,Pós-graduação,9.0,4.7,0
3841,Programador,15,9,4,Pós-graduação,5.9,3.5,0
5638,Cientista de Dados,14,43,5,Doutorado,9.9,6.1,1
5171,Programador,4,18,0,Doutorado,7.7,8.8,1
572,Programador,0,37,0,Doutorado,2.6,8.7,0
4276,Programador,14,29,8,Doutorado,6.1,8.2,1
5865,Cientista de Dados,10,12,3,Pós-graduação,7.0,8.7,1
7310,Cientista de Dados,5,30,2,Pós-graduação,7.8,7.8,1
5666,Programador,15,28,8,Mestrado,8.2,3.9,0
5158,Cientista de Dados,13,49,3,Pós-graduação,4.5,3.7,0
8449,Programador,4,13,7,Pós-graduação,9.0,9.2,1
1098,Programador,1,30,8,Doutorado,9.0,2.8,0
2827,Analista de Dados,5,0,2,Pós-graduação,6.7,4.3,0
4983,Cientista de Dados,18,16,6,Pós-graduação,5.6,6.0,0
619,Cientista de Dados,6,33,6,Doutorado,6.7,9.8,1
8997,Cientista de Dados,7,2,3,Graduação,6.3,4.7,0
3586,Analista de Dados,15,45,3,Doutorado,9.9,8.0,1
4791,Cientista de Dados,17,44,2,Doutorado,8.2,6.8,1
207,Cientista de Dados,17,22,1,Doutorado,3.3,5.5,0
6819,Programador,6,43,1,Mestrado,9.7,7.1,1
621,Programador,7,17,7,Mestrado,9.7,7.0,1
5520,Cientista de Dados,5,15,1,Graduação,6.2,7.8,1
2585,Programador,7,25,6,Pós-graduação,6.1,5.8,0
2764,Cientista de Dados,12,42,2,Pós-graduação,8.3,5.9,0
9183,Analista de Dados,17,15,7,Pós-graduação,2.9,2.7,0
3458,Programador,15,46,3,Mestrado,6.4,7.9,1
6237,Analista de Dados,9,34,2,Graduação,6.0,9.7,1
1013,Programador,18,34,1,Graduação,1.5,3.5,0
491,Cientista de Dados,11,32,2,Mestrado,6.2,6.9,1
1735,Programador,18,35,1,Pós-graduação,8.8,9.2,1
9636,Analista de Dados,3,7,7,Doutorado,7.6,8.7,1
4321,Analista de Dados,1,18,5,Doutorado,8.5,1.0,0
5671,Cientista de Dados,8,1,4,Pós-graduação,4.1,5.3,0
6209,Analista de Dados,17,42,1,Mestrado,5.8,5.3,0
4546,Programador,10,47,6,Graduação,1.3,5.2,0
7281,Analista de Dados,1,32,3,Graduação,6.9,7.0,0
3715,Programador,7,15,9,Pós-graduação,8.8,8.2,1
5554,Analista de Dados,11,35,0,Doutorado,9.3,3.3,0
557,Programador,16,10,8,Mestrado,8.6,7.9,1
7440,Programador,19,8,5,Pós-graduação,6.0,7.5,1
3693,Programador,3,15,3,Doutorado,3.4,3.3,0
484,Cientista de Dados,18,3,7,Pós-graduação,7.9,6.8,0
4856,Analista de Dados,0,38,7,Pós-graduação,9.6,6.5,0
6590,Programador,9,28,6,Pós-graduação,2.5,5.4,0
8837,Cientista de Dados,12,30,0,Mestrado,6.5,8.9,1
8074,Analista de Dados,7,31,3,Pós-graduação,1.0,6.3,0
2679,Programador,6,0,1,Mestrado,8.0,7.9,0
2236,Analista de Dados,14,40,9,Pós-graduação,2.3,6.6,0
278,Analista de Dados,18,32,1,Doutorado,7.7,9.9,1
6750,Programador,18,36,8,Graduação,5.1,8.6,0
7369,Cientista de Dados,2,45,8,Graduação,8.5,3.5,0
9155,Cientista de Dados,8,27,0,Pós-graduação,9.1,9.1,1
6329,Programador,10,14,1,Doutorado,10.0,6.7,1
5245,Cientista de Dados,17,20,3,Pós-graduação,6.7,8.9,1
3930,Programador,3,39,0,Pós-graduação,8.5,9.7,1
1722,Programador,8,29,5,Graduação,6.4,6.7,1
6385,Programador,4,44,6,Graduação,8.4,8.3,1
4677,Analista de Dados,5,16,9,Mestrado,8.6,6.6,1
4997,Cientista de Dados,13,4,6,Doutorado,1.4,2.8,0
6235,Analista de Dados,3,43,7,Mestrado,3.8,4.3,0
7296,Analista de Dados,19,25,8,Doutorado,3.7,6.0,0
505,Programador,11,23,3,Mestrado,7.9,7.4,1
5832,Cientista de Dados,16,26,4,Doutorado,8.0,5.7,0
6228,Analista de Dados,10,6,0,Graduação,5.1,3.5,0
6931,Analista de Dados,0,19,8,Mestrado,7.2,2.9,0
6592,Analista de Dados,9,20,2,Pós-graduação,6.0,6.9,1
1134,Programador,16,46,4,Doutorado,1.7,5.6,0
783,Cientista de Dados,14,37,1,Pós-graduação,9.4,9.7,1
6062,Analista de Dados,14,45,7,Doutorado,6.4,7.9,1
588,Programador,19,42,2,Pós-graduação,4.2,5.4,0
2072,Programador,13,34,4,Mestrado,8.2,5.9,0
1288,Cientista de Dados,7,45,9,Pós-graduação,2.3,7.6,0
7121,Programador,10,10,7,Graduação,3.3,5.0,0
871,Analista de Dados,12,22,7,Graduação,6.6,6.3,1
9204,Cientista de Dados,8,33,0,Doutorado,8.7,7.5,1
2501,Analista de Dados,13,22,5,Graduação,9.6,5.8,0
7197,Analista de Dados,17,43,2,Pós-graduação,8.6,9.4,1
6877,Cientista de Dados,14,44,1,Doutorado,1.5,6.4,0
5430,Analista de Dados,8,12,5,Graduação,2.0,5.3,0
7776,Cientista de Dados,16,40,5,Mestrado,9.5,7.3,1
3387,Cientista de Dados,16,35,3,Pós-graduação,6.8,6.2,1
318,Cientista de Dados,8,35,8,Doutorado,9.7,9.6,1
8484,Programador,17,40,6,Pós-graduação,2.1,9.8,0
4114,Analista de Dados,9,25,3,Mestrado,7.6,7.9,1
9147,Programador,5,25,8,Mestrado,8.7,8.9,1
6733,Analista de Dados,17,25,1,Graduação,7.8,8.5,1
3764,Programador,3,39,8,Mestrado,8.4,9.4,1
8397,Cientista de Dados,16,11,4,Mestrado,3.5,5.5,0
5980,Programador,16,7,9,Mestrado,5.0,4.9,0
6423,Analista de Dados,10,45,9,Doutorado,4.8,9.7,0
6762,Programador,17,17,1,Mestrado,6.3,7.6,1
5098,Programador,19,34,1,Graduação,7.7,6.5,1
6971,Cientista de Dados,13,33,5,Graduação,9.5,7.3,1
9648,Cientista de Dados,2,21,3,Pós-graduação,8.4,2.8,0
9945,Cientista de Dados,17,27,9,Graduação,9.9,4.0,0
5414,Analista de Dados,3,49,2,Graduação,5.1,9.2,0
8927,Cientista de Dados,16,8,9,Pós-graduação,9.6,6.6,1
1445,Programador,15,34,2,Mestrado,2.0,5.7,0
7795,Analista de Dados,11,11,1,Mestrado,8.2,6.4,1
2971,Analista de Dados,17,44,4,Graduação,2.2,8.1,0
2929,Programador,2,2,5,Graduação,6.7,2.7,0
4531,Programador,9,46,5,Pós-graduação,1.9,8.4,0
5199,Cientista de Dados,1,4,6,Doutorado,3.6,1.5,0
3029,Cientista de Dados,16,41,7,Doutorado,3.7,1.8,0
7982,Programador,6,13,8,Graduação,9.6,8.0,1
3352,Cientista de Dados,15,41,1,Pós-graduação,3.2,6.5,0
329,Programador,18,14,4,Mestrado,7.9,7.7,1
4554,Cientista de Dados,6,14,8,Pós-graduação,3.3,9.3,0
6662,Analista de Dados,6,46,7,Mestrado,1.8,8.3,0
4860,Cientista de Dados,12,27,0,Doutorado,3.5,9.9,0
9427,Programador,3,38,4,Graduação,8.2,8.0,1
1759,Analista de Dados,12,14,5,Mestrado,2.0,5.6,0
7085,Cientista de Dados,14,47,8,Graduação,9.3,6.8,1
7619,Cientista de Dados,18,4,7,Mestrado,7.9,2.4,0
9264,Cientista de Dados,12,42,3,Mestrado,5.7,2.1,0
9841,Programador,7,41,1,Mestrado,8.5,9.7,1
135,Analista de Dados,8,10,3,Doutorado,9.6,6.3,1
8465,Programador,9,16,8,Graduação,7.3,6.7,1
7425,Analista de Dados,19,26,2,Graduação,6.3,8.7,1
8344,Analista de Dados,10,3,9,Pós-graduação,1.9,3.6,0
9460,Analista de Dados,10,3,3,Mestrado,1.8,5.9,0
2166,Programador,5,2,4,Mestrado,7.2,5.3,0
9272,Programador,14,6,9,Doutorado,8.2,9.0,1
6597,Programador,19,45,7,Doutorado,9.3,7.1,1
4750,Analista de Dados,8,37,8,Mestrado,2.5,3.9,0
378,Programador,12,25,5,Graduação,7.1,6.3,1
253,Analista de Dados,17,16,1,Doutorado,1.8,5.3,0
3067,Programador,0,0,6,Graduação,9.5,6.7,0
981,Analista de Dados,9,32,0,Graduação,6.2,8.3,1
9244,Cientista de Dados,16,26,6,Pós-graduação,7.7,6.6,1
5439,Programador,5,24,6,Pós-graduação,9.0,8.0,1
4813,Cientista de Dados,16,31,7,Doutorado,7.6,6.9,1
2613,Analista de Dados,13,10,3,Pós-graduação,4.0,9.4,0
5362,Programador,7,14,0,Mestrado,8.2,6.1,1
7764,Programador,1,0,7,Graduação,8.0,8.3,0
5283,Cientista de Dados,5,10,5,Doutorado,9.9,6.6,1
5679,Cientista de Dados,8,29,0,Mestrado,7.0,8.6,1
4741,Programador,18,47,7,Mestrado,6.7,3.3,0
9851,Programador,16,17,8,Doutorado,7.4,6.7,1
2843,Cientista de Dados,18,21,0,Graduação,8.0,9.7,1
8867,Cientista de Dados,19,24,7,Doutorado,9.6,6.1,1
5488,Programador,19,41,3,Mestrado,4.4,5.3,0
3554,Cientista de Dados,16,46,3,Pós-graduação,8.9,7.4,1
3731,Cientista de Dados,14,40,7,Pós-graduação,9.7,8.0,1
4790,Programador,12,10,5,Doutorado,8.7,7.0,1
375,Cientista de Dados,18,7,7,Mestrado,2.0,4.9,0
4122,Programador,5,27,3,Mestrado,9.7,6.6,1
1150,Programador,18,29,4,Pós-graduação,6.6,7.7,1
6657,Analista de Dados,12,46,2,Pós-graduação,7.5,9.9,1
7453,Programador,9,32,5,Mestrado,7.0,9.8,1
2200,Analista de Dados,18,38,5,Mestrado,3.1,8.6,0
7616,Cientista de Dados,7,35,6,Pós-graduação,9.8,8.8,1
4950,Cientista de Dados,2,11,0,Doutorado,9.9,9.5,0
1750,Cientista de Dados,0,1,2,Mestrado,3.1,1.6,0
9198,Cientista de Dados,9,19,2,Doutorado,4.1,6.9,0
7678,Analista de Dados,16,29,9,Graduação,6.0,8.0,1
1841,Analista de Dados,10,1,9,Mestrado,1.9,1.4,0
6163,Analista de Dados,2,45,2,Doutorado,1.7,9.2,0
9942,Programador,13,45,3,Graduação,4.3,3.9,0
2245,Cientista de Dados,6,18,8,Mestrado,8.4,8.4,1
74,Cientista de Dados,18,41,8,Doutorado,8.4,6.2,1
8951,Analista de Dados,15,19,3,Pós-graduação,8.0,6.3,1
166,Programador,17,33,0,Mestrado,10.0,9.8,1
7990,Programador,14,35,2,Mestrado,6.0,6.4,1
8281,Programador,18,9,6,Doutorado,6.6,6.1,1
5176,Programador,9,22,9,Graduação,5.2,3.7,0
7400,Analista de Dados,10,8,1,Pós-graduação,7.3,7.4,1
8056,Analista de Dados,3,11,2,Pós-graduação,7.1,9.9,1
3074,Programador,9,30,2,Doutorado,8.0,6.2,1
1938,Programador,9,43,7,Graduação,9.7,7.5,1
5464,Cientista de Dados,16,26,7,Mestrado,8.8,6.5,1
7864,Programador,4,34,8,Mestrado,7.2,1.2,0
366,Cientista de Dados,11,34,0,Graduação,7.1,4.4,0
